name, distance, has_beer, has_pub_quiz, is_spoons, has_live_music, address, lat, lon, has_funny_smell, cheapest_pint, is_open, is_college
The Fir Tree, 2.0, True, True, False, False, The Fir Tree; 163; Iffley Road; Cold Harbour; Oxford; Oxfordshire; South East; England; OX4 1EJ; United Kingdom, 51.744434549999994, -1.2400197887848077, False, inf, True, False
The James Street Tavern, 1.9, True, False, False, True, James Street Tavern; 47-48; James Street; Cold Harbour; Oxford; Oxfordshire; South East; England; OX4 1EU; United Kingdom, 51.7474273, -1.2373453741933642, False, inf, True, False
The Library, 2.0, True, False, False, False, The Library; 182; Cowley Road; Oxford; Oxfordshire; South East; England; OX4 1UE; United Kingdom, 51.7470254, -1.2349056, False, inf, True, False
The Rusty Bicycle, 2.5, True, False, False, False, The Rusty Bicycle; 28; Magdalen Road; Oxford; Oxfordshire; South East; England; OX4 1RB; United Kingdom, 51.74293385, -1.234264793399705, False, inf, True, False
The Magdalen Arms, 2.5, True, False, False, False, 243 Iffley Rd; Oxford OX4 1SJ, 51.74121310739812, -1.237149963013011, False, inf, True, False
The Chester Arms, 2.5, True, False, False, False, 19 Chester St; Oxford OX4 1SN, 51.74162086448089, -1.2408080997768387, False, inf, True, False
The University Club, 0.2, True, False, False, False, University Club; 11; Mansfield Road; Norham Manor; Oxford; Oxfordshire; South East; England; OX1 3SZ; United Kingdom, 51.757122800000005, -1.251335944893838, False, inf, False, False
The Up in Arms, 1.4, True, False, False, False, 252-242 Marston Rd; Oxford, 51.7594972, -1.2368538, False, inf, True, False
The Seacourt Bridge, 3.86, True, False, False, False, 78 West Way; Botley; Oxford; OX2 0JB; United Kingdom, 51.75174517720427, -1.298835168539639, False, inf, True, False
Keble College Bar, 0.482, True, False, False, False, Keble College; Parks Road; Oxford; OX1 3PG; United Kingdom, 51.758508, -1.257914, False, inf, True, True
Balliol College Bar, 1.0, True, False, False, False, Oxford OX1 3BJ, 51.75429651036986, -1.257355471634104, False, inf, True, True
Univ College Bar, 1.0, True, False, False, False, High Street; Oxford, 51.75272092229712, -1.2519212901711974, False, inf, True, True
New College Bar, 0.482, True, False, False, False, New College; Holywell Street; OX1 3BN, 51.754880595709444, -1.2506204882995613, False, inf, True, True
The Punter, 1.0, True, False, False, False, 7 South St; Oxford OX2 0BE, 51.7502615399644, -1.2728460920969342, False, inf, True, False
The Perch, 1.0, True, False, False, False, Binsey; Oxford OX2 0NG, 51.76500594662904, -1.2878543853121618, False, inf, True, False
The Trout Inn, 1.0, True, False, False, False, 195 Godstow Rd; Wolvercote; Oxford OX2 8PN, 51.78014624792215, -1.299536247921414, False, inf, True, False
Jacobs Inn, 1.0, True, False, False, False, 130 Godstow Rd; Wolvercote; Oxford OX2 8PG, 51.78376742414868, -1.2934929523163836, False, inf, True, False
The White Hart, 1.0, True, False, False, False, 126 Godstow Rd; Wolvercote; Oxford OX2 8PQ, 51.78375877395617, -1.2931032023798597, False, inf, True, False
The Plough, 1.0, True, False, False, False, The Green; Upper; Wolvercote; Oxford OX2 8BD, 51.78368455718229, -1.2825980689375713, False, inf, True, False
The Victoria Arms, 1.0, True, False, False, False, Mill Ln; Marston; Oxford OX3 0QA, 51.776811881140894, -1.247328995607249, False, inf, True, False
The White Hart Headington, 1.0, True, False, False, False, 12 St Andrew's Rd; Headington; Oxford OX3 9DL, 51.764451407904005, -1.2119467485058273, False, inf, True, False
The Black Boy, 1.0, True, False, False, False, 91 Old High St; Headington; Oxford OX3 9HT, 51.764310567047765, -1.2107340766159935, False, inf, True, False
The Britannia Inn, 1.0, True, False, False, False, 1 Lime Walk; London Rd; Headington; Oxford OX3 7AA, 51.759175666720274, -1.214274420927072, False, inf, True, False
The Butcher's Arms, 1.0, True, False, False, False, 5 Wilberforce St; Headington; Oxford OX3 7AN, 51.755919378081195, -1.211098281903228, False, inf, True, False
The Prince of Wales Horspath, 1.0, True, False, False, False, Horspath Rd; Oxford OX4 2QW, 51.73821948440574, -1.2017279479073777, False, inf, True, False
The Original Swan, 1.0, True, False, False, False, Oxford Rd; Cowley OX4 2LF, 51.73429855750005, -1.2120660649300041, False, inf, True, False
The Cricketers Arms, 1.0, True, False, False, False, 102 Temple Rd; Oxford OX4 2EZ, 51.7356141709005, -1.2120874105993258, False, inf, True, False
The Marsh Harrier, 1.0, True, False, False, False, 40 Marsh Rd; Oxford OX4 2HH, 51.73851924680815, -1.2178248065326733, False, inf, True, False
The Jolly Postboys, 1.0, True, False, False, False, 22 Florence Park Rd; Oxford OX4 3PH, 51.73358927666662, -1.2253135887579476, False, inf, True, False
The Prince of Wales Iffley, 1.0, True, False, False, False, 73 Church Way; Iffley; Oxford OX4 4EF, 51.73019421554414, -1.2372062813347746, False, inf, True, False
The Isis Farmhouse, 1.0, True, False, False, False, Haystacks Corner; The Towing Path; Iffley; Iffley Lock; Oxford OX4 4EL, 51.73098601582325, -1.2411871065483797, False, inf, True, False
The Duke of Monmouth, 1.0, True, False, False, False, 260 Abingdon Rd; Oxford OX1 4TA, 51.737362644967206, -1.251842876423273, False, inf, True, False
The White House by Tap Social, 1.0, True, False, False, False, 38 Abingdon Rd; Oxford OX1 4PD, 51.74373913447091, -1.2559136115233211, False, inf, True, False
Cherwell Boathouse, 1.0, True, False, False, False, Bardwell Rd; Oxford OX2 6ST, 51.769523309974524, -1.253724930849054, False, 6.89, True, False
The Vine Inn, 1.0, True, False, False, False, 11 Abingdon Rd; Cumnor; Oxford OX2 9QN, 51.733553231609456, -1.3316437550810705, False, inf, True, False
The Bear & Ragged Staff, 1.0, True, False, False, False, 28 Appleton Rd; Cumnor; Oxford OX2 9QH, 51.733285567855525, -1.3365688720967883, False, inf, True, False
The Masons Arms, 1.0, True, False, False, False, 2 Quarry School Pl; Headington; Oxford OX3 8LH, 51.7583042166622, -1.1973381803227674, False, inf, True, False
The Six Bells, 1.0, True, False, False, False, 3 Beaumont Rd; Headington; Oxford OX3 8JN, 51.759444209242325, -1.1958511806867296, False, inf, True, False
The Ampleforth Arms, 1.0, True, False, False, False, 53 Collinwood Rd; Headington; Oxford OX3 8HH, 51.75984946832872, -1.1903381692763928, False, inf, True, False
The Dewdrop, 1.0, True, False, False, False, Dewdrop; Banbury Road; Summertown; Oxford, 51.77757769540642, -1.2647565307058308, False, 4.0, True, False
